x-axis,1,2,3
second,Volt,Volt,Volt
-3.355000E-06,+2.765226096846E+00,+2.764824111480E+00,+2.379396986216E+00
-3.350000E-06,+2.684824087657E+00,+2.450753763085E+00,+2.469849246554E+00
-3.345000E-06,+2.453668311238E+00,+2.408040195704E+00,+2.623115576571E+00
-3.340000E-06,+2.378291427623E+00,+2.408040195704E+00,+2.575376883615E+00
-3.335000E-06,+2.458693436813E+00,+2.408040195704E+00,+2.452261307044E+00
-3.330000E-06,+2.694874338806E+00,+2.772361799842E+00,+2.379396986216E+00
-3.325000E-06,+2.684824087657E+00,+2.483417079318E+00,+2.500000000000E+00
-3.320000E-06,+2.443618060090E+00,+2.410552758491E+00,+2.655778892804E+00
-3.315000E-06,+2.373266302049E+00,+2.408040195704E+00,+2.575376883615E+00
-3.310000E-06,+2.458693436813E+00,+2.450753763085E+00,+2.419597990811E+00
-3.305000E-06,+2.699899464380E+00,+2.769849237055E+00,+2.379396986216E+00
-3.300000E-06,+2.694874338806E+00,+2.490954767680E+00,+2.464824120980E+00
-3.295000E-06,+2.373266302049E+00,+2.448241200298E+00,+2.655778892804E+00
-3.290000E-06,+2.297889418434E+00,+2.370351753896E+00,+2.570351758040E+00
-3.285000E-06,+2.458693436813E+00,+2.410552758491E+00,+2.417085428024E+00
-3.280000E-06,+2.694874338806E+00,+2.769849237055E+00,+2.344221107196E+00
-3.275000E-06,+2.755175845698E+00,+2.518592958339E+00,+2.507537688361E+00
-3.270000E-06,+2.453668311238E+00,+2.408040195704E+00,+2.623115576571E+00
-3.265000E-06,+2.373266302049E+00,+2.370351753896E+00,+2.540201004595E+00
-3.260000E-06,+2.458693436813E+00,+2.450753763085E+00,+2.457286432618E+00
-3.255000E-06,+2.694874338806E+00,+2.769849237055E+00,+2.379396986216E+00
-3.250000E-06,+2.614472329617E+00,+2.490954767680E+00,+2.500000000000E+00
-3.245000E-06,+2.443618060090E+00,+2.443216074724E+00,+2.660804018378E+00
-3.240000E-06,+2.373266302049E+00,+2.410552758491E+00,+2.575376883615E+00
-3.235000E-06,+2.534070320427E+00,+2.410552758491E+00,+2.417085428024E+00
-3.230000E-06,+2.694874338806E+00,+2.737185920822E+00,+2.384422111791E+00
-3.225000E-06,+2.684824087657E+00,+2.488442204893E+00,+2.464824120980E+00
-3.220000E-06,+2.453668311238E+00,+2.443216074724E+00,+2.660804018378E+00
-3.215000E-06,+2.363216050901E+00,+2.408040195704E+00,+2.575376883615E+00
-3.210000E-06,+2.468743687961E+00,+2.415577884065E+00,+2.417085428024E+00
-3.205000E-06,+2.619497455191E+00,+2.769849237055E+00,+2.379396986216E+00
-3.200000E-06,+2.614472329617E+00,+2.455778888660E+00,+2.464824120980E+00
-3.195000E-06,+2.378291427623E+00,+2.443216074724E+00,+2.660804018378E+00
-3.190000E-06,+2.443618060090E+00,+2.408040195704E+00,+2.542713567382E+00
-3.185000E-06,+2.458693436813E+00,+2.448241200298E+00,+2.419597990811E+00
-3.180000E-06,+2.699899464380E+00,+2.772361799842E+00,+2.379396986216E+00
-3.175000E-06,+2.694874338806E+00,+2.523618083913E+00,+2.464824120980E+00
-3.170000E-06,+2.453668311238E+00,+2.443216074724E+00,+2.623115576571E+00
-3.165000E-06,+2.373266302049E+00,+2.375376879470E+00,+2.575376883615E+00
-3.160000E-06,+2.468743687961E+00,+2.448241200298E+00,+2.457286432618E+00
-3.155000E-06,+2.684824087657E+00,+2.769849237055E+00,+2.379396986216E+00
-3.150000E-06,+2.619497455191E+00,+2.490954767680E+00,+2.464824120980E+00
-3.145000E-06,+2.378291427623E+00,+2.448241200298E+00,+2.660804018378E+00
-3.140000E-06,+2.373266302049E+00,+2.415577884065E+00,+2.575376883615E+00
-3.135000E-06,+2.534070320427E+00,+2.410552758491E+00,+2.417085428024E+00
-3.130000E-06,+2.619497455191E+00,+2.777386925416E+00,+2.379396986216E+00
-3.125000E-06,+2.614472329617E+00,+2.488442204893E+00,+2.502512562787E+00
-3.120000E-06,+2.453668311238E+00,+2.443216074724E+00,+2.660804018378E+00
-3.115000E-06,+2.373266302049E+00,+2.403015070129E+00,+2.575376883615E+00
-3.110000E-06,+2.534070320427E+00,+2.450753763085E+00,+2.457286432618E+00
-3.105000E-06,+2.694874338806E+00,+2.769849237055E+00,+2.344221107196E+00
-3.100000E-06,+2.694874338806E+00,+2.490954767680E+00,+2.464824120980E+00
-3.095000E-06,+2.453668311238E+00,+2.448241200298E+00,+2.655778892804E+00
-3.090000E-06,+2.443618060090E+00,+2.410552758491E+00,+2.605527637061E+00
-3.085000E-06,+2.534070320427E+00,+2.410552758491E+00,+2.452261307044E+00
-3.080000E-06,+2.694874338806E+00,+2.805025116075E+00,+2.384422111791E+00
-3.075000E-06,+2.684824087657E+00,+2.523618083913E+00,+2.502512562787E+00
-3.070000E-06,+2.453668311238E+00,+2.443216074724E+00,+2.620603013784E+00
-3.065000E-06,+2.373266302049E+00,+2.408040195704E+00,+2.580402009189E+00
-3.060000E-06,+2.534070320427E+00,+2.450753763085E+00,+2.452261307044E+00
-3.055000E-06,+2.694874338806E+00,+2.805025116075E+00,+2.379396986216E+00
-3.050000E-06,+2.614472329617E+00,+2.490954767680E+00,+2.464824120980E+00
-3.045000E-06,+2.443618060090E+00,+2.408040195704E+00,+2.623115576571E+00
-3.040000E-06,+2.373266302049E+00,+2.408040195704E+00,+2.575376883615E+00
-3.035000E-06,+2.534070320427E+00,+2.448241200298E+00,+2.457286432618E+00
-3.030000E-06,+2.694874338806E+00,+2.805025116075E+00,+2.349246232770E+00
-3.025000E-06,+2.614472329617E+00,+2.488442204893E+00,+2.464824120980E+00
-3.020000E-06,+2.373266302049E+00,+2.448241200298E+00,+2.660804018378E+00
-3.015000E-06,+2.373266302049E+00,+2.408040195704E+00,+2.610552762635E+00
-3.010000E-06,+2.453668311238E+00,+2.450753763085E+00,+2.417085428024E+00
-3.005000E-06,+2.694874338806E+00,+2.772361799842E+00,+2.384422111791E+00
-3.000000E-06,+2.694874338806E+00,+2.490954767680E+00,+2.500000000000E+00
-2.995000E-06,+2.443618060090E+00,+2.448241200298E+00,+2.623115576571E+00
-2.990000E-06,+2.378291427623E+00,+2.410552758491E+00,+2.540201004595E+00
-2.985000E-06,+2.458693436813E+00,+2.410552758491E+00,+2.379396986216E+00
-2.980000E-06,+2.619497455191E+00,+2.732160795247E+00,+2.349246232770E+00
-2.975000E-06,+2.684824087657E+00,+2.518592958339E+00,+2.502512562787E+00
-2.970000E-06,+2.453668311238E+00,+2.448241200298E+00,+2.623115576571E+00
-2.965000E-06,+2.373266302049E+00,+2.410552758491E+00,+2.570351758040E+00
-2.960000E-06,+2.458693436813E+00,+2.455778888660E+00,+2.457286432618E+00
-2.955000E-06,+2.694874338806E+00,+2.805025116075E+00,+2.344221107196E+00
-2.950000E-06,+2.684824087657E+00,+2.450753763085E+00,+2.464824120980E+00
-2.945000E-06,+2.378291427623E+00,+2.448241200298E+00,+2.620603013784E+00
-2.940000E-06,+2.373266302049E+00,+2.408040195704E+00,+2.575376883615E+00
-2.935000E-06,+2.534070320427E+00,+2.448241200298E+00,+2.417085428024E+00
-2.930000E-06,+2.619497455191E+00,+2.737185920822E+00,+2.379396986216E+00
-2.925000E-06,+2.694874338806E+00,+2.488442204893E+00,+2.502512562787E+00
-2.920000E-06,+2.443618060090E+00,+2.443216074724E+00,+2.623115576571E+00
-2.915000E-06,+2.363216050901E+00,+2.408040195704E+00,+2.575376883615E+00
-2.910000E-06,+2.458693436813E+00,+2.450753763085E+00,+2.457286432618E+00
-2.905000E-06,+2.694874338806E+00,+2.769849237055E+00,+2.379396986216E+00
-2.900000E-06,+2.619497455191E+00,+2.490954767680E+00,+2.464824120980E+00
-2.895000E-06,+2.443618060090E+00,+2.448241200298E+00,+2.623115576571E+00
-2.890000E-06,+2.297889418434E+00,+2.410552758491E+00,+2.575376883615E+00
-2.885000E-06,+2.458693436813E+00,+2.448241200298E+00,+2.419597990811E+00
-2.880000E-06,+2.699899464380E+00,+2.772361799842E+00,+2.379396986216E+00
-2.875000E-06,+2.755175845698E+00,+2.523618083913E+00,+2.502512562787E+00
