x-axis,1,2,3
second,Volt,Volt,Volt
-4.035000E-06,+2.612939723302E+00,+2.548241176177E+00,+1.094302767888E+00
-4.030000E-06,+2.617964848876E+00,+2.553266301751E+00,+1.094302767888E+00
-4.025000E-06,+2.854145750869E+00,+2.472864292562E+00,+1.094302767888E+00
-4.020000E-06,+2.778768867254E+00,+2.709045194555E+00,+1.094302767888E+00
-4.015000E-06,+2.859170876443E+00,+2.472864292562E+00,+1.094302767888E+00
-4.010000E-06,+2.612939723302E+00,+2.628643185366E+00,+1.094302767888E+00
-4.005000E-06,+2.296356812119E+00,+2.472864292562E+00,+1.094302767888E+00
-4.000000E-06,+2.773743741680E+00,+2.392462283373E+00,+1.094302767888E+00
-3.995000E-06,+2.693341732491E+00,+2.709045194555E+00,+1.094302767888E+00
-3.990000E-06,+2.457160830498E+00,+2.548241176177E+00,+1.094302767888E+00
-3.985000E-06,+2.612939723302E+00,+2.628643185366E+00,+1.094302767888E+00
-3.980000E-06,+2.371733695734E+00,+2.472864292562E+00,+1.094302767888E+00
-3.975000E-06,+2.617964848876E+00,+2.472864292562E+00,+1.094302767888E+00
-3.970000E-06,+2.617964848876E+00,+2.628643185366E+00,+1.094302767888E+00
-3.965000E-06,+2.537562839687E+00,+2.472864292562E+00,+1.094302767888E+00
-3.960000E-06,+2.537562839687E+00,+2.628643185366E+00,+1.094302767888E+00
-3.955000E-06,+2.371733695734E+00,+2.472864292562E+00,+1.094302767888E+00
-3.950000E-06,+2.617964848876E+00,+2.392462283373E+00,+1.094302767888E+00
-3.945000E-06,+2.693341732491E+00,+2.709045194555E+00,+1.094302767888E+00
-3.940000E-06,+2.537562839687E+00,+2.472864292562E+00,+1.094302767888E+00
-3.935000E-06,+2.612939723302E+00,+2.553266301751E+00,+1.094302767888E+00
-3.930000E-06,+2.296356812119E+00,+2.472864292562E+00,+1.094302767888E+00
-3.925000E-06,+2.612939723302E+00,+2.392462283373E+00,+1.094302767888E+00
-3.920000E-06,+2.612939723302E+00,+2.709045194555E+00,+1.094302767888E+00
-3.915000E-06,+2.617964848876E+00,+2.553266301751E+00,+1.094302767888E+00
-3.910000E-06,+2.457160830498E+00,+2.553266301751E+00,+1.094302767888E+00
-3.905000E-06,+2.296356812119E+00,+2.472864292562E+00,+1.094302767888E+00
-3.900000E-06,+2.612939723302E+00,+2.472864292562E+00,+1.094302767888E+00
-3.895000E-06,+2.693341732491E+00,+2.714070320129E+00,+1.094302767888E+00
-3.890000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-3.885000E-06,+2.532537714113E+00,+2.633668310940E+00,+1.094302767888E+00
-3.880000E-06,+2.371733695734E+00,+2.553266301751E+00,+1.094302767888E+00
-3.875000E-06,+2.693341732491E+00,+2.392462283373E+00,+1.094302767888E+00
-3.870000E-06,+2.537562839687E+00,+2.714070320129E+00,+1.094302767888E+00
-3.865000E-06,+2.617964848876E+00,+2.553266301751E+00,+1.094302767888E+00
-3.860000E-06,+2.612939723302E+00,+2.628643185366E+00,+1.094302767888E+00
-3.855000E-06,+2.291331686545E+00,+2.472864292562E+00,+1.094302767888E+00
-3.850000E-06,+2.617964848876E+00,+2.472864292562E+00,+1.094302767888E+00
-3.845000E-06,+2.612939723302E+00,+2.633668310940E+00,+1.094302767888E+00
-3.840000E-06,+2.617964848876E+00,+2.472864292562E+00,+1.094302767888E+00
-3.835000E-06,+2.612939723302E+00,+2.628643185366E+00,+1.094302767888E+00
-3.830000E-06,+2.371733695734E+00,+2.553266301751E+00,+1.094302767888E+00
-3.825000E-06,+2.612939723302E+00,+2.472864292562E+00,+1.094302767888E+00
-3.820000E-06,+2.612939723302E+00,+2.709045194555E+00,+1.094302767888E+00
-3.815000E-06,+2.617964848876E+00,+2.553266301751E+00,+1.094302767888E+00
-3.810000E-06,+2.617964848876E+00,+2.633668310940E+00,+1.094302767888E+00
-3.805000E-06,+2.215954802930E+00,+2.553266301751E+00,+1.094302767888E+00
-3.800000E-06,+2.693341732491E+00,+2.472864292562E+00,+1.094302767888E+00
-3.795000E-06,+2.693341732491E+00,+2.709045194555E+00,+1.094302767888E+00
-3.790000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-3.785000E-06,+2.532537714113E+00,+2.628643185366E+00,+1.094302767888E+00
-3.780000E-06,+2.371733695734E+00,+2.472864292562E+00,+1.094302767888E+00
-3.775000E-06,+2.617964848876E+00,+2.472864292562E+00,+1.094302767888E+00
-3.770000E-06,+2.693341732491E+00,+2.633668310940E+00,+1.094302767888E+00
-3.765000E-06,+2.537562839687E+00,+2.553266301751E+00,+1.094302767888E+00
-3.760000E-06,+2.537562839687E+00,+2.633668310940E+00,+1.094302767888E+00
